customer_id,scoring_date,score,tier,reasons,model
C000000,2024-11-01,0.0667,Green,"[""emi_to_income=0.19"", ""avg_balance_28d=561505.24"", ""Low 14d balance Rs.550476""]",sklearn_hgb
C000001,2024-11-01,0.0202,Green,"[""emi_to_income=0.15"", ""avg_balance_28d=588935.60"", ""Low 14d balance Rs.577139""]",sklearn_hgb
C000002,2024-11-01,0.9583,Red,"[""avg_balance_28d=43144.42"", ""Low 14d balance Rs.34663"", ""emi_to_income=0.60""]",sklearn_hgb
C000003,2024-11-01,1.0,Red,"[""avg_balance_28d=-9562.63"", ""Low 14d balance Rs.-13525"", ""emi_to_income=0.64""]",sklearn_hgb
C000004,2024-11-01,0.0217,Green,"[""emi_to_income=0.14"", ""avg_balance_28d=796767.27"", ""Low 14d balance Rs.792562""]",sklearn_hgb
C000005,2024-11-01,0.0852,Green,"[""avg_balance_28d=603031.53"", ""balance_slope_28d=2771.38"", ""Low 14d balance Rs.591465""]",sklearn_hgb
C000006,2024-11-01,0.1239,Green,"[""avg_balance_28d=441490.84"", ""Low 14d balance Rs.429150"", ""salary_cv_3m=0.20""]",sklearn_hgb
C000007,2024-11-01,0.0667,Green,"[""emi_to_income=0.22"", ""avg_balance_28d=159193.02"", ""salary_cv_3m=0.19""]",sklearn_hgb
C000008,2024-11-01,0.0667,Green,"[""avg_balance_28d=455332.68"", ""Low 14d balance Rs.438594"", ""emi_to_income=0.42""]",sklearn_hgb
C000009,2024-11-01,0.0202,Green,"[""emi_to_income=0.18"", ""avg_balance_28d=116090.01"", ""Low 14d balance Rs.98060""]",sklearn_hgb
C000010,2024-11-01,0.7342,Red,"[""avg_balance_28d=46474.10"", ""Low 14d balance Rs.32729"", ""emi_to_income=0.59""]",sklearn_hgb
C000011,2024-11-01,0.041,Green,"[""emi_to_income=0.23"", ""avg_balance_28d=573921.92"", ""Low 14d balance Rs.568273""]",sklearn_hgb
C000012,2024-11-01,0.0417,Green,"[""avg_balance_28d=659670.72"", ""emi_to_income=0.27"", ""Low 14d balance Rs.646052""]",sklearn_hgb
C000013,2024-11-01,0.0667,Green,"[""avg_balance_28d=670671.90"", ""Low 14d balance Rs.663437"", ""discretionary_ratio_28d=0.03""]",sklearn_hgb
C000014,2024-11-01,0.0417,Green,"[""emi_to_income=0.20"", ""avg_balance_28d=1062265.32"", ""salary_cv_3m=0.08""]",sklearn_hgb
C000015,2024-11-01,0.0389,Green,"[""emi_to_income=0.21"", ""avg_balance_28d=1041966.87"", ""Low 14d balance Rs.1031831""]",sklearn_hgb
C000016,2024-11-01,0.1239,Green,"[""avg_balance_28d=279388.34"", ""atm_amt_avg=6391.50"", ""Low 14d balance Rs.266908""]",sklearn_hgb
C000017,2024-11-01,0.0417,Green,"[""avg_balance_28d=847647.78"", ""Low 14d balance Rs.841974"", ""atm_amt_avg=4342.00""]",sklearn_hgb
C000018,2024-11-01,0.9286,Red,"[""avg_balance_28d=28933.58"", ""Low 14d balance Rs.23737"", ""emi_to_income=0.81""]",sklearn_hgb
C000019,2024-11-01,0.0417,Green,"[""emi_to_income=0.14"", ""avg_balance_28d=1051863.34"", ""Low 14d balance Rs.1043758""]",sklearn_hgb
C000020,2024-11-01,0.0417,Green,"[""emi_to_income=0.16"", ""avg_balance_28d=347147.23"", ""Low 14d balance Rs.317538""]",sklearn_hgb
C000021,2024-11-01,0.0667,Green,"[""emi_to_income=0.11"", ""avg_balance_28d=1007992.52"", ""Low 14d balance Rs.994156""]",sklearn_hgb
C000022,2024-11-01,0.0389,Green,"[""emi_to_income=0.18"", ""avg_balance_28d=1148964.39"", ""2 ATM withdrawals this week""]",sklearn_hgb
C000023,2024-11-01,0.0417,Green,"[""emi_to_income=0.21"", ""avg_balance_28d=828425.85"", ""Low 14d balance Rs.815198""]",sklearn_hgb
C000024,2024-11-01,0.0667,Green,"[""emi_to_income=0.05"", ""avg_balance_28d=1174306.40"", ""Low 14d balance Rs.1172233""]",sklearn_hgb
C000025,2024-11-01,0.9286,Red,"[""avg_balance_28d=22705.58"", ""Low 14d balance Rs.10887"", ""Savings 33% WoW""]",sklearn_hgb
C000026,2024-11-01,0.7342,Red,"[""Low 14d balance Rs.42328"", ""emi_to_income=0.77"", ""avg_balance_28d=60547.44""]",sklearn_hgb
C000027,2024-11-01,0.0667,Green,"[""avg_balance_28d=678009.43"", ""Low 14d balance Rs.663200"", ""emi_to_income=0.29""]",sklearn_hgb
C000028,2024-11-01,0.0852,Green,"[""avg_balance_28d=559794.63"", ""Low 14d balance Rs.562931"", ""discretionary_ratio_28d=0.04""]",sklearn_hgb
C000029,2024-11-01,0.0417,Green,"[""avg_balance_28d=106136.46"", ""emi_to_income=0.27"", ""Low 14d balance Rs.96287""]",sklearn_hgb
C000030,2024-11-01,0.0667,Green,"[""emi_to_income=0.06"", ""avg_balance_28d=888003.46"", ""Low 14d balance Rs.880243""]",sklearn_hgb
C000031,2024-11-01,0.619,Red,"[""avg_balance_28d=32390.82"", ""Low 14d balance Rs.24394"", ""emi_to_income=0.41""]",sklearn_hgb
C000032,2024-11-01,0.0389,Green,"[""emi_to_income=0.24"", ""avg_balance_28d=1160410.26"", ""Low 14d balance Rs.1171997""]",sklearn_hgb
C000033,2024-11-01,0.178,Green,"[""Low 14d balance Rs.61413"", ""avg_balance_28d=63133.62"", ""emi_to_income=0.47""]",sklearn_hgb
C000034,2024-11-01,0.0852,Green,"[""avg_balance_28d=317025.45"", ""discretionary_ratio_28d=0.03"", ""Low 14d balance Rs.318644""]",sklearn_hgb
C000035,2024-11-01,0.0202,Green,"[""emi_to_income=0.17"", ""avg_balance_28d=1013838.25"", ""atm_amt_avg=3781.50""]",sklearn_hgb
C000036,2024-11-01,0.0417,Green,"[""avg_balance_28d=613745.81"", ""Low 14d balance Rs.614698"", ""emi_to_income=0.24""]",sklearn_hgb
C000037,2024-11-01,0.0417,Green,"[""emi_to_income=0.22"", ""avg_balance_28d=907177.53"", ""Low 14d balance Rs.895162""]",sklearn_hgb
C000038,2024-11-01,0.0202,Green,"[""avg_balance_28d=681395.40"", ""Low 14d balance Rs.670748"", ""Discretionary spend down 43%""]",sklearn_hgb
C000039,2024-11-01,0.0202,Green,"[""emi_to_income=0.14"", ""avg_balance_28d=1205792.31"", ""Low 14d balance Rs.1195786""]",sklearn_hgb
C000040,2024-11-01,0.0389,Green,"[""avg_balance_28d=489963.20"", ""emi_to_income=0.30"", ""Low 14d balance Rs.484577""]",sklearn_hgb
