customer_id,tier,suppress_reason
C000002,Red,single_source_only:liquidity
C000010,Red,single_source_only:none
C000025,Red,single_source_only:discipline
C000026,Red,single_source_only:discipline
C000031,Red,single_source_only:behavioral
C000067,Red,single_source_only:discipline
C000083,Red,single_source_only:behavioral
C000095,Red,single_source_only:discipline
C000109,Red,single_source_only:liquidity
C000142,Red,single_source_only:none
C000145,Red,single_source_only:behavioral
C000148,Red,single_source_only:none
C000150,Red,single_source_only:behavioral
C000160,Red,single_source_only:discipline
C000174,Red,single_source_only:behavioral
C000178,Red,single_source_only:discipline
C000181,Red,single_source_only:discipline
C000184,Red,single_source_only:none
C000193,Red,single_source_only:discipline
C000194,Amber,single_source_only:discipline
C000196,Red,single_source_only:discipline
C000212,Red,single_source_only:behavioral
C000214,Red,single_source_only:discipline
C000216,Red,single_source_only:discipline
C000259,Red,single_source_only:none
C000315,Red,single_source_only:discipline
C000350,Amber,single_source_only:behavioral
C000361,Amber,single_source_only:discipline
C000383,Amber,single_source_only:behavioral
C000400,Red,single_source_only:discipline
C000418,Red,single_source_only:behavioral
C000421,Red,single_source_only:discipline
C000470,Red,single_source_only:behavioral
C000482,Red,single_source_only:discipline
C000486,Red,single_source_only:liquidity
C000488,Red,single_source_only:liquidity
C000491,Red,single_source_only:liquidity
C000520,Red,single_source_only:behavioral
C000533,Amber,single_source_only:discipline
C000534,Amber,single_source_only:behavioral
C000548,Amber,single_source_only:discipline
C000549,Red,single_source_only:liquidity
C000567,Red,single_source_only:discipline
C000570,Red,single_source_only:none
C000589,Amber,single_source_only:none
C000590,Amber,single_source_only:discipline
C000611,Red,single_source_only:liquidity
C000618,Red,single_source_only:discipline
C000624,Red,single_source_only:discipline
C000628,Amber,single_source_only:liquidity
C000630,Amber,single_source_only:liquidity
C000704,Red,single_source_only:none
C000801,Red,single_source_only:none
C000804,Red,single_source_only:none
C000805,Red,single_source_only:discipline
C000818,Amber,single_source_only:liquidity
C000819,Red,single_source_only:none
C000832,Amber,single_source_only:behavioral
C000851,Red,single_source_only:discipline
C000896,Red,single_source_only:discipline
C000949,Red,single_source_only:discipline
C000968,Amber,single_source_only:discipline
C000990,Red,single_source_only:liquidity
C001030,Amber,single_source_only:discipline
C001045,Amber,single_source_only:discipline
C001055,Red,single_source_only:liquidity
C001067,Amber,single_source_only:behavioral
C001071,Amber,single_source_only:liquidity
C001093,Red,single_source_only:discipline
C001166,Amber,single_source_only:none
C001198,Red,single_source_only:behavioral
C001219,Red,single_source_only:discipline
C001226,Red,single_source_only:discipline
C001227,Red,single_source_only:none
C001238,Red,single_source_only:discipline
C001290,Red,single_source_only:discipline
C001292,Red,single_source_only:discipline
C001293,Red,single_source_only:behavioral
C001295,Red,single_source_only:cash
C001336,Red,single_source_only:discipline
C001340,Red,single_source_only:none
C001350,Red,single_source_only:discipline
C001366,Red,single_source_only:discipline
C001372,Red,single_source_only:discipline
C001395,Red,single_source_only:none
C001406,Red,single_source_only:none
C001421,Red,single_source_only:behavioral
C001426,Red,single_source_only:discipline
C001446,Red,single_source_only:none
C001453,Red,single_source_only:discipline
C001485,Red,single_source_only:none
C001489,Red,single_source_only:none
C001540,Amber,single_source_only:discipline
C001554,Red,single_source_only:discipline
C001567,Red,single_source_only:liquidity
C001572,Red,single_source_only:liquidity
C001584,Amber,single_source_only:none
C001595,Amber,single_source_only:behavioral
C001596,Red,single_source_only:discipline
C001624,Red,single_source_only:discipline
C001626,Red,single_source_only:discipline
C001627,Red,single_source_only:none
C001638,Red,single_source_only:discipline
C001647,Amber,single_source_only:none
C001653,Red,single_source_only:none
C001658,Amber,single_source_only:discipline
C001672,Amber,single_source_only:behavioral
C001673,Red,single_source_only:behavioral
C001684,Red,single_source_only:behavioral
C001686,Red,single_source_only:discipline
C001718,Red,single_source_only:behavioral
C001726,Red,single_source_only:cash
C001735,Red,single_source_only:discipline
C001766,Red,single_source_only:none
C001790,Red,single_source_only:none
C001795,Red,single_source_only:discipline
C001808,Red,single_source_only:none
C001828,Amber,single_source_only:discipline
C001834,Red,single_source_only:discipline
C001842,Red,single_source_only:behavioral
C001858,Red,single_source_only:none
C001870,Red,single_source_only:discipline
C001877,Red,single_source_only:discipline
C001929,Red,single_source_only:none
C001951,Amber,single_source_only:discipline
C001975,Red,single_source_only:behavioral
C001976,Red,single_source_only:liquidity
C001979,Red,single_source_only:none
