customer_id,archetype,age_band,geography,product_type,emi_amount,emi_day,income_median,salary_day
C000000,gig_worker,35-45,Chennai,home,16854,5,90933,2
C000001,salaried_stable,55+,Hyderabad,credit_card,12635,5,84657,4
C000002,sme_owner,25-35,Chennai,personal,23211,5,38693,1
C000003,salaried_stressed,35-45,Chennai,home,28202,5,44262,5
C000004,salaried_stable,55+,Bengaluru,credit_card,14149,5,101435,3
C000005,pensioner,55+,Delhi,credit_card,31840,5,98300,3
C000006,gig_worker,35-45,Delhi,home,27360,5,96589,1
C000007,gig_worker,45-55,Hyderabad,personal,10832,5,48771,3
C000008,salaried_stable,25-35,Mumbai,personal,37852,5,91192,1
C000009,salaried_stable,25-35,Mumbai,home,6535,5,37315,5
C000010,salaried_stable,35-45,Bengaluru,home,27880,5,47296,4
C000011,pensioner,55+,Hyderabad,personal,20385,5,89840,3
C000012,salaried_stressed,45-55,Chennai,personal,27883,5,104034,5
C000013,sme_owner,35-45,Chennai,home,32090,5,108644,5
C000014,salaried_stable,35-45,Chennai,credit_card,29052,5,147833,1
C000015,salaried_stable,25-35,Mumbai,personal,27777,5,132497,1
C000016,salaried_stressed,35-45,Delhi,home,34430,5,75573,2
C000017,salaried_stable,25-35,Mumbai,personal,29565,5,123940,1
C000018,sme_owner,25-35,Hyderabad,personal,33480,5,41477,3
C000019,salaried_stressed,45-55,Hyderabad,home,19099,5,132868,3
C000020,gig_worker,25-35,Delhi,personal,12098,5,76397,3
C000021,salaried_stable,25-35,Delhi,personal,13223,5,121208,1
C000022,pensioner,45-55,Delhi,credit_card,26423,5,146475,5
C000023,sme_owner,35-45,Kolkata,personal,23612,5,114388,5
C000024,gig_worker,35-45,Bengaluru,personal,7700,5,140429,3
C000025,salaried_stable,25-35,Hyderabad,credit_card,12152,5,31216,1
C000026,salaried_stable,25-35,Bengaluru,home,38864,5,50466,2
C000027,salaried_stable,35-45,Hyderabad,personal,30418,5,105132,4
C000028,salaried_stable,45-55,Chennai,home,31424,5,94870,4
C000029,salaried_stressed,35-45,Delhi,home,11893,5,44457,2
C000030,gig_worker,45-55,Kolkata,personal,7247,5,116204,5
C000031,pensioner,45-55,Hyderabad,home,15194,5,37040,5
C000032,salaried_stable,35-45,Hyderabad,home,34990,5,148892,3
C000033,salaried_stable,35-45,Kolkata,personal,22729,5,48769,2
C000034,salaried_stable,35-45,Delhi,credit_card,32461,5,83456,3
C000035,salaried_stable,25-35,Mumbai,home,22034,5,128795,1
C000036,salaried_stable,45-55,Chennai,credit_card,22156,5,91684,3
C000037,salaried_stable,45-55,Delhi,personal,26029,5,119261,1
C000038,salaried_stable,35-45,Bengaluru,personal,38562,5,114437,1
C000039,salaried_stressed,35-45,Delhi,credit_card,20310,5,143852,3
C000040,salaried_stable,35-45,Bengaluru,credit_card,25851,5,85674,3
C000041,sme_owner,45-55,Bengaluru,personal,37181,5,147477,5
C000042,gig_worker,55+,Bengaluru,credit_card,18030,5,92011,3
C000043,salaried_stable,25-35,Hyderabad,personal,34397,5,137194,5
C000044,sme_owner,35-45,Chennai,home,23726,5,117916,5
C000045,gig_worker,25-35,Bengaluru,personal,35768,5,45951,2
C000046,salaried_stable,35-45,Mumbai,home,21373,5,107235,5
C000047,salaried_stable,25-35,Chennai,credit_card,27033,5,135405,3
C000048,salaried_stressed,35-45,Delhi,credit_card,16314,5,45405,3
C000049,salaried_stable,35-45,Delhi,credit_card,27225,5,130636,1
